SUPPORT,PRESENCE_IN_ALL,PRESENCE_IN_BENIGN,PRESENCE_IN_MALWARE,SUPPORT_IN_ALL,SUPPORT_IN_BENIGN,SUPPORT_IN_MALWARE
.zdata,1,0,1,0.00%,0.00%,0.00%
zEPdf,1,0,1,0.00%,0.00%,0.00%
.nep,17,17,0,0.10%,0.10%,0.00%
PAGEKsVf,3,3,0,0.00%,0.00%,0.00%
.rsc,1,0,1,0.00%,0.00%,0.00%
Yaau3dil,2,0,2,0.00%,0.00%,0.00%
PAGEPcVf,1,1,0,0.00%,0.00%,0.00%
.cht_dat,1,1,0,0.00%,0.00%,0.00%
mH=s4DC,1,0,1,0.00%,0.00%,0.00%
.wpp_sf,22,22,0,0.10%,0.10%,0.00%
tReB@,1,0,1,0.00%,0.00%,0.00%
xpiplqr,1,0,1,0.00%,0.00%,0.00%
.init,1,0,1,0.00%,0.00%,0.00%
zqhsvuu,1,0,1,0.00%,0.00%,0.00%
.ydata,4,0,4,0.00%,0.00%,0.10%
.detourd,8,8,0,0.00%,0.00%,0.00%
.text,4,0,4,0.00%,0.00%,0.10%
.header,23402,16865,6537,100.00%,100.00%,100.00%
4data,1,0,1,0.00%,0.00%,0.00%
.VxD,1,0,1,0.00%,0.00%,0.00%
.,4,0,4,0.00%,0.00%,0.10%
c,1,0,1,0.00%,0.00%,0.00%
Q5-O+dr,1,0,1,0.00%,0.00%,0.00%
.vbdry,1,0,1,0.00%,0.00%,0.00%
.sxdata,16,2,14,0.10%,0.00%,0.20%
PAGEIPPT,1,1,0,0.00%,0.00%,0.00%
2src,1,0,1,0.00%,0.00%,0.00%
Ac,1,0,1,0.00%,0.00%,0.00%
.INIT,1,0,1,0.00%,0.00%,0.00%
makmhzx,1,0,1,0.00%,0.00%,0.00%
.aomadmi,1,1,0,0.00%,0.00%,0.00%
rnzjljm,1,0,1,0.00%,0.00%,0.00%
Ooo8n5HY,1,0,1,0.00%,0.00%,0.00%
W64SVC,1,1,0,0.00%,0.00%,0.00%
.v-lizer,1,0,1,0.00%,0.00%,0.00%
lZoe,1,0,1,0.00%,0.00%,0.00%
53cxfhvd,1,0,1,0.00%,0.00%,0.00%
.itext,33,4,29,0.10%,0.00%,0.40%
Shared,4,0,4,0.00%,0.00%,0.10%
.neolit,1,0,1,0.00%,0.00%,0.00%
kurguuw,1,0,1,0.00%,0.00%,0.00%
kaykqhf,1,0,1,0.00%,0.00%,0.00%
.yvs,2,0,2,0.00%,0.00%,0.00%
.clam02,6,0,6,0.00%,0.00%,0.10%
YB@,1,0,1,0.00%,0.00%,0.00%
/63,2,2,0,0.00%,0.00%,0.00%
6OqHWrHH,1,0,1,0.00%,0.00%,0.00%
Feokt.,1,0,1,0.00%,0.00%,0.00%
wiroozo,1,0,1,0.00%,0.00%,0.00%
rvbqvha,1,0,1,0.00%,0.00%,0.00%
yxzilyb,1,0,1,0.00%,0.00%,0.00%
fqfdxvx,1,0,1,0.00%,0.00%,0.00%
.stabstr,19,15,4,0.10%,0.10%,0.10%
.version,12,0,12,0.10%,0.00%,0.20%
UPX2,21,1,20,0.10%,0.00%,0.30%
wjkenll,1,0,1,0.00%,0.00%,0.00%
skzhanh,1,0,1,0.00%,0.00%,0.00%
-------,1,0,1,0.00%,0.00%,0.00%
omlkvlm,1,0,1,0.00%,0.00%,0.00%
dy4j2mwl,1,0,1,0.00%,0.00%,0.00%
.mrdata,7,7,0,0.00%,0.00%,0.00%
.enigma1,1,0,1,0.00%,0.00%,0.00%
WPCODES,1,1,0,0.00%,0.00%,0.00%
.bGPSwOt,15,0,15,0.10%,0.00%,0.20%
.fdata,1,0,1,0.00%,0.00%,0.00%
.ghfwe,1,0,1,0.00%,0.00%,0.00%
5481eatu,1,0,1,0.00%,0.00%,0.00%
G(oc,1,0,1,0.00%,0.00%,0.00%
iktbair,1,0,1,0.00%,0.00%,0.00%
.hkdata,1,0,1,0.00%,0.00%,0.00%
ugvmcec,1,0,1,0.00%,0.00%,0.00%
UPX1,451,11,440,1.90%,0.10%,6.70%
pakdxgu,1,0,1,0.00%,0.00%,0.00%
@5E4^,1,0,1,0.00%,0.00%,0.00%
.pb,1,0,1,0.00%,0.00%,0.00%
GLOBAL_I,3,3,0,0.00%,0.00%,0.00%
5341,1,0,1,0.00%,0.00%,0.00%
xP40K0Yc,1,0,1,0.00%,0.00%,0.00%
/35,4,2,2,0.00%,0.00%,0.00%
L,1,0,1,0.00%,0.00%,0.00%
b04flsoh,1,0,1,0.00%,0.00%,0.00%
.nsp0,2,0,2,0.00%,0.00%,0.00%
INITCONS,4,4,0,0.00%,0.00%,0.00%
.VCrypt0,3,0,3,0.00%,0.00%,0.00%
qftypmd,1,0,1,0.00%,0.00%,0.00%
packerBY,7,0,7,0.00%,0.00%,0.10%
.asyy,1,0,1,0.00%,0.00%,0.00%
/73,2,0,2,0.00%,0.00%,0.00%
_RDATA,20,19,1,0.10%,0.10%,0.00%
1data,1,0,1,0.00%,0.00%,0.00%
.packed,6,0,6,0.00%,0.00%,0.10%
SANONTCP,4,4,0,0.00%,0.00%,0.00%
SECUR,1,1,0,0.00%,0.00%,0.00%
.textWJT,1,0,1,0.00%,0.00%,0.00%
h1K6iLld,1,0,1,0.00%,0.00%,0.00%
stfu,2,0,2,0.00%,0.00%,0.00%
tdymnkt,1,0,1,0.00%,0.00%,0.00%
PAGEP,1,1,0,0.00%,0.00%,0.00%
qwpmqao,1,0,1,0.00%,0.00%,0.00%
UPX3,1,0,1,0.00%,0.00%,0.00%
.Shared,1,0,1,0.00%,0.00%,0.00%
37hgwoif,1,0,1,0.00%,0.00%,0.00%
PAGENWan,2,2,0,0.00%,0.00%,0.00%
INIT,671,604,67,2.90%,3.60%,1.00%
.vmp1,17,0,17,0.10%,0.00%,0.30%
v8x6ngxr,1,0,1,0.00%,0.00%,0.00%
mimi2,1,0,1,0.00%,0.00%,0.00%
.pdata,6330,6031,299,27.00%,35.80%,4.60%
EODE,13,0,13,0.10%,0.00%,0.20%
FE_TEXT,2,1,1,0.00%,0.00%,0.00%
/102,3,3,0,0.00%,0.00%,0.00%
.cdata,15,8,7,0.10%,0.00%,0.10%
xsqyuft,1,0,1,0.00%,0.00%,0.00%
h-,2,0,2,0.00%,0.00%,0.00%
ques,2,0,2,0.00%,0.00%,0.00%
rycjyag,1,0,1,0.00%,0.00%,0.00%
evretui,1,0,1,0.00%,0.00%,0.00%
_DATA,1,0,1,0.00%,0.00%,0.00%
psexyhl,1,0,1,0.00%,0.00%,0.00%
.RLDRQ,1,0,1,0.00%,0.00%,0.00%
.debug_o,3,2,1,0.00%,0.00%,0.00%
x7R,1,0,1,0.00%,0.00%,0.00%
PAGE_LK,1,1,0,0.00%,0.00%,0.00%
!BQk4+J,1,0,1,0.00%,0.00%,0.00%
.conf,1,0,1,0.00%,0.00%,0.00%
trudgod,1,0,1,0.00%,0.00%,0.00%
.tttc,1,0,1,0.00%,0.00%,0.00%
.rdata,15072,10534,4538,64.40%,62.50%,69.40%
.H9n,1,0,1,0.00%,0.00%,0.00%
pec3,1,0,1,0.00%,0.00%,0.00%
.37552a,1,0,1,0.00%,0.00%,0.00%
gtfo,2,0,2,0.00%,0.00%,0.00%
.axL,1,0,1,0.00%,0.00%,0.00%
.gda,5,0,5,0.00%,0.00%,0.10%
.gentee,2,0,2,0.00%,0.00%,0.00%
nhjpugv,1,0,1,0.00%,0.00%,0.00%
.jlmetb,1,0,1,0.00%,0.00%,0.00%
.lrdata,12,0,12,0.10%,0.00%,0.20%
PAGESRP0,2,2,0,0.00%,0.00%,0.00%
0,1,0,1,0.00%,0.00%,0.00%
/89,5,5,0,0.00%,0.00%,0.00%
_TEXT,3,0,3,0.00%,0.00%,0.00%
/42,1,1,0,0.00%,0.00%,0.00%
.Text,2,0,2,0.00%,0.00%,0.00%
klxcxky,1,0,1,0.00%,0.00%,0.00%
kkfpjnp,1,0,1,0.00%,0.00%,0.00%
.heb,6,0,6,0.00%,0.00%,0.10%
.data4,1,0,1,0.00%,0.00%,0.00%
.tqn,1,0,1,0.00%,0.00%,0.00%
.rloc,4,0,4,0.00%,0.00%,0.10%
yktscfs,1,0,1,0.00%,0.00%,0.00%
adosrdk,1,0,1,0.00%,0.00%,0.00%
text,1,0,1,0.00%,0.00%,0.00%
.rsrcx,1,0,1,0.00%,0.00%,0.00%
.iIEiZ,15,0,15,0.10%,0.00%,0.20%
.cove,1,0,1,0.00%,0.00%,0.00%
HookData,3,0,3,0.00%,0.00%,0.00%
PAGEPPTP,2,2,0,0.00%,0.00%,0.00%
[%oc,1,0,1,0.00%,0.00%,0.00%
sqvjjep,1,0,1,0.00%,0.00%,0.00%
.data1,21,13,8,0.10%,0.10%,0.10%
.rufg,1,0,1,0.00%,0.00%,0.00%
.vmp0,1,0,1,0.00%,0.00%,0.00%
QSnPUisN,1,0,1,0.00%,0.00%,0.00%
/29,38,8,30,0.20%,0.00%,0.50%
.reloc,14608,11641,2967,62.40%,69.00%,45.40%
eA?Ew,1,0,1,0.00%,0.00%,0.00%
.crt,3,0,3,0.00%,0.00%,0.00%
kaqlgsx,1,0,1,0.00%,0.00%,0.00%
.vsp,5,0,5,0.00%,0.00%,0.10%
.no_bbt,1,1,0,0.00%,0.00%,0.00%
/55,35,5,30,0.10%,0.00%,0.50%
zruliww,1,0,1,0.00%,0.00%,0.00%
vazmshn,1,0,1,0.00%,0.00%,0.00%
6ata,1,0,1,0.00%,0.00%,0.00%
.crt0,8,0,8,0.00%,0.00%,0.10%
xztdbzt,1,0,1,0.00%,0.00%,0.00%
stxt774,1,0,1,0.00%,0.00%,0.00%
sD_kjl,2,0,2,0.00%,0.00%,0.00%
RT_CONST,6,6,0,0.00%,0.00%,0.00%
.rsrc,1,0,1,0.00%,0.00%,0.00%
a,2,0,2,0.00%,0.00%,0.00%
AssertDa,1,1,0,0.00%,0.00%,0.00%
3src,1,0,1,0.00%,0.00%,0.00%
.hhqg,2,0,2,0.00%,0.00%,0.00%
jjljkjls,1,0,1,0.00%,0.00%,0.00%
L5V7EWad,1,0,1,0.00%,0.00%,0.00%
.msda,1,0,1,0.00%,0.00%,0.00%
.shared,1,1,0,0.00%,0.00%,0.00%
.qtmetad,91,91,0,0.40%,0.50%,0.00%
.tc,17,0,17,0.10%,0.00%,0.30%
petite,15,0,15,0.10%,0.00%,0.20%
.same,1,0,1,0.00%,0.00%,0.00%
reloc,5,0,5,0.00%,0.00%,0.10%
fkthdhf,1,0,1,0.00%,0.00%,0.00%
ofre,2,0,2,0.00%,0.00%,0.00%
PAGE,534,522,12,2.30%,3.10%,0.20%
PAGESER,1,1,0,0.00%,0.00%,0.00%
1ata,1,0,1,0.00%,0.00%,0.00%
ZFA7I2w,1,0,1,0.00%,0.00%,0.00%
OlV,1,0,1,0.00%,0.00%,0.00%
.hdata,2,2,0,0.00%,0.00%,0.00%
LaNbz,1,0,1,0.00%,0.00%,0.00%
/86,2,0,2,0.00%,0.00%,0.00%
.NXPTF,1,0,1,0.00%,0.00%,0.00%
mimi0,1,0,1,0.00%,0.00%,0.00%
ERRATA,3,3,0,0.00%,0.00%,0.00%
icapsec,1,1,0,0.00%,0.00%,0.00%
bjsuvcj,1,0,1,0.00%,0.00%,0.00%
HUDSGTD,1,0,1,0.00%,0.00%,0.00%
.yP,1,0,1,0.00%,0.00%,0.00%
jtb49vpf,1,0,1,0.00%,0.00%,0.00%
.data,15947,10864,5083,68.10%,64.40%,77.80%
.khe,3,0,3,0.00%,0.00%,0.00%
PAGESSTP,1,1,0,0.00%,0.00%,0.00%
zyncqar,1,0,1,0.00%,0.00%,0.00%
.ice,1,0,1,0.00%,0.00%,0.00%
mimi1,1,0,1,0.00%,0.00%,0.00%
nkztatu,1,0,1,0.00%,0.00%,0.00%
.uro,2,0,2,0.00%,0.00%,0.00%
.lost,1,0,1,0.00%,0.00%,0.00%
.qnk,2,0,2,0.00%,0.00%,0.00%
.udata,2,0,2,0.00%,0.00%,0.00%
.BJFNT,1,0,1,0.00%,0.00%,0.00%
.iPRMaL,15,0,15,0.10%,0.00%,0.20%
ljywffy,1,0,1,0.00%,0.00%,0.00%
B,1,0,1,0.00%,0.00%,0.00%
.prdata,3,0,3,0.00%,0.00%,0.00%
.bldvar,16,16,0,0.10%,0.10%,0.00%
.oxrgbki,1,0,1,0.00%,0.00%,0.00%
jvezhqr,1,0,1,0.00%,0.00%,0.00%
scxsorc,1,0,1,0.00%,0.00%,0.00%
.reloc0,1,0,1,0.00%,0.00%,0.00%
.bea0,3,0,3,0.00%,0.00%,0.00%
azqikeq,1,0,1,0.00%,0.00%,0.00%
.detourc,8,8,0,0.00%,0.00%,0.00%
2ata,1,0,1,0.00%,0.00%,0.00%
.NewSec,8,0,8,0.00%,0.00%,0.10%
.kd1,1,0,1,0.00%,0.00%,0.00%
T+6ptBT,1,0,1,0.00%,0.00%,0.00%
xsiadzb,1,0,1,0.00%,0.00%,0.00%
noxqcjf,1,0,1,0.00%,0.00%,0.00%
gujejqn,1,0,1,0.00%,0.00%,0.00%
api,1,0,1,0.00%,0.00%,0.00%
535hdztg,1,0,1,0.00%,0.00%,0.00%
PAGEL2TP,2,2,0,0.00%,0.00%,0.00%
.orpc,86,85,1,0.40%,0.50%,0.00%
.00cfg,384,375,9,1.60%,2.20%,0.10%
000001DB,1,0,1,0.00%,0.00%,0.00%
69,1,0,1,0.00%,0.00%,0.00%
PAGEVRF2,3,3,0,0.00%,0.00%,0.00%
dfdjslx,1,0,1,0.00%,0.00%,0.00%
.APP,1,0,1,0.00%,0.00%,0.00%
RTFOUT_P,2,2,0,0.00%,0.00%,0.00%
.idat_69,1,0,1,0.00%,0.00%,0.00%
"XKH<>G""Y",1,1,0,0.00%,0.00%,0.00%
.ndata,141,14,127,0.60%,0.10%,1.90%
crigpkm,1,0,1,0.00%,0.00%,0.00%
.xur,2,0,2,0.00%,0.00%,0.00%
.tdat,1,0,1,0.00%,0.00%,0.00%
.FFF,2,0,2,0.00%,0.00%,0.00%
.rres,1,0,1,0.00%,0.00%,0.00%
.RUPX1,1,0,1,0.00%,0.00%,0.00%
.imdata,12,0,12,0.10%,0.00%,0.20%
.terr,1,0,1,0.00%,0.00%,0.00%
dwogsjh,1,0,1,0.00%,0.00%,0.00%
.itt_not,1,1,0,0.00%,0.00%,0.00%
.iThunks,1,0,1,0.00%,0.00%,0.00%
PAGEWsk,4,4,0,0.00%,0.00%,0.00%
djkqbjv,1,0,1,0.00%,0.00%,0.00%
mqsmrvw,1,0,1,0.00%,0.00%,0.00%
yojoyj73,1,0,1,0.00%,0.00%,0.00%
yfdbrss,1,0,1,0.00%,0.00%,0.00%
fkqxout,1,0,1,0.00%,0.00%,0.00%
.a,1,0,1,0.00%,0.00%,0.00%
.res,26,0,26,0.10%,0.00%,0.40%
.text/DE,2,1,1,0.00%,0.00%,0.00%
PAGEVRFY,1,1,0,0.00%,0.00%,0.00%
.extjmp,26,26,0,0.10%,0.20%,0.00%
nistypi,1,0,1,0.00%,0.00%,0.00%
ITBL,1,1,0,0.00%,0.00%,0.00%
.zwt,1,0,1,0.00%,0.00%,0.00%
/107,1,1,0,0.00%,0.00%,0.00%
UPX0,453,11,442,1.90%,0.10%,6.80%
͝oc,1,0,1,0.00%,0.00%,0.00%
.dada0,1,0,1,0.00%,0.00%,0.00%
9S,1,0,1,0.00%,0.00%,0.00%
ztqazth,1,0,1,0.00%,0.00%,0.00%
.idat_84,1,0,1,0.00%,0.00%,0.00%
.clam06,3,0,3,0.00%,0.00%,0.00%
PAGEVRF1,3,3,0,0.00%,0.00%,0.00%
qgowlqj,1,0,1,0.00%,0.00%,0.00%
