SUPPORT,PRESENCE_IN_ALL,PRESENCE_IN_BENIGN,PRESENCE_IN_MALWARE,SUPPORT_IN_ALL,SUPPORT_IN_BENIGN,SUPPORT_IN_MALWARE
W,1,0,1,0.00%,0.00%,0.00%
mjtupgg,1,0,1,0.00%,0.00%,0.00%
fmrhjsq,1,0,1,0.00%,0.00%,0.00%
XpTf,1,0,1,0.00%,0.00%,0.00%
.hello,1,0,1,0.00%,0.00%,0.00%
yqoiyjg,1,0,1,0.00%,0.00%,0.00%
ucnycxj,1,0,1,0.00%,0.00%,0.00%
ttmwulc,1,0,1,0.00%,0.00%,0.00%
nono,1,0,1,0.00%,0.00%,0.00%
.bss1,2,0,2,0.00%,0.00%,0.00%
5data,1,0,1,0.00%,0.00%,0.00%
ljanwjb,1,0,1,0.00%,0.00%,0.00%
RT_CODE,26,26,0,0.10%,0.20%,0.00%
btdx,2,0,2,0.00%,0.00%,0.00%
PAGEMSG,5,5,0,0.00%,0.00%,0.00%
.tems,1,0,1,0.00%,0.00%,0.00%
RT_DATA,19,19,0,0.10%,0.10%,0.00%
.nrdata,2,0,2,0.00%,0.00%,0.00%
.dosa,1,0,1,0.00%,0.00%,0.00%
ta,2,0,2,0.00%,0.00%,0.00%
27Q3KWYI,1,0,1,0.00%,0.00%,0.00%
PAGED,1,1,0,0.00%,0.00%,0.00%
Mobile,1,0,1,0.00%,0.00%,0.00%
MINTCKY4,1,0,1,0.00%,0.00%,0.00%
.001x,1,0,1,0.00%,0.00%,0.00%
GFIDS,452,452,0,1.90%,2.70%,0.00%
.imports,86,0,86,0.40%,0.00%,1.30%
1w24rklk,1,0,1,0.00%,0.00%,0.00%
.tsuarch,1,0,1,0.00%,0.00%,0.00%
PAGEUMDM,1,1,0,0.00%,0.00%,0.00%
x5!,1,0,1,0.00%,0.00%,0.00%
PAGEKRPC,4,4,0,0.00%,0.00%,0.00%
k000oavd,1,0,1,0.00%,0.00%,0.00%
.clam03,6,0,6,0.00%,0.00%,0.10%
.text0,1,0,1,0.00%,0.00%,0.00%
yi47ugkh,1,0,1,0.00%,0.00%,0.00%
.bak,1,0,1,0.00%,0.00%,0.00%
/57,199,168,31,0.90%,1.00%,0.50%
qqtzwqt,1,0,1,0.00%,0.00%,0.00%
.kd0,1,0,1,0.00%,0.00%,0.00%
.Reloc,1,0,1,0.00%,0.00%,0.00%
.bT,4,0,4,0.00%,0.00%,0.10%
testdata,3,3,0,0.00%,0.00%,0.00%
GBte,1,0,1,0.00%,0.00%,0.00%
.api,1,0,1,0.00%,0.00%,0.00%
PEPACK!!,2,0,2,0.00%,0.00%,0.00%
nusimqy,1,0,1,0.00%,0.00%,0.00%
.link,4,0,4,0.00%,0.00%,0.10%
.data_1,2,0,2,0.00%,0.00%,0.00%
.dtors,1,0,1,0.00%,0.00%,0.00%
.raata,1,0,1,0.00%,0.00%,0.00%
.ykry,1,0,1,0.00%,0.00%,0.00%
.eXeCr2,1,0,1,0.00%,0.00%,0.00%
.data3,1,0,1,0.00%,0.00%,0.00%
.morpc,1,0,1,0.00%,0.00%,0.00%
83,1,0,1,0.00%,0.00%,0.00%
tubjntj,1,0,1,0.00%,0.00%,0.00%
0.1234535,1,0,1,0.00%,0.00%,0.00%
0ext,2,0,2,0.00%,0.00%,0.00%
/47,2,0,2,0.00%,0.00%,0.00%
b894dnme,1,0,1,0.00%,0.00%,0.00%
xnpoq0e9,1,0,1,0.00%,0.00%,0.00%
.text,1,0,1,0.00%,0.00%,0.00%
tZU,1,0,1,0.00%,0.00%,0.00%
A3x ur,2,0,2,0.00%,0.00%,0.00%
Koc,1,0,1,0.00%,0.00%,0.00%
iwcrxcx,1,0,1,0.00%,0.00%,0.00%
autybhe,1,0,1,0.00%,0.00%,0.00%
PAGE4BRO,1,1,0,0.00%,0.00%,0.00%
.bootdat,1,1,0,0.00%,0.00%,0.00%
.text1,13,8,5,0.10%,0.00%,0.10%
PAGECONS,12,12,0,0.10%,0.10%,0.00%
oijegbi,1,0,1,0.00%,0.00%,0.00%
.buildid,595,595,0,2.50%,3.50%,0.00%
.shdata,2,2,0,0.00%,0.00%,0.00%
g568jnbz,1,0,1,0.00%,0.00%,0.00%
STLPORT_,1,0,1,0.00%,0.00%,0.00%
.PEDATA,3,0,3,0.00%,0.00%,0.00%
.erdata,2,0,2,0.00%,0.00%,0.00%
.spm,6,0,6,0.00%,0.00%,0.10%
hmqkxdp,1,0,1,0.00%,0.00%,0.00%
OERppzCe,2,0,2,0.00%,0.00%,0.00%
.FXmJ,1,0,1,0.00%,0.00%,0.00%
cji8,4,0,4,0.00%,0.00%,0.10%
nqo006KV,1,0,1,0.00%,0.00%,0.00%
.Rsrc,1,0,1,0.00%,0.00%,0.00%
.tPolicy,4,4,0,0.00%,0.00%,0.00%
.idada,1,0,1,0.00%,0.00%,0.00%
D,4,0,4,0.00%,0.00%,0.10%
CPUCAP_T,2,2,0,0.00%,0.00%,0.00%
INIT_TEX,1,1,0,0.00%,0.00%,0.00%
PAGELK,12,12,0,0.10%,0.10%,0.00%
.app,1,0,1,0.00%,0.00%,0.00%
.nsp2,2,0,2,0.00%,0.00%,0.00%
data,18,8,10,0.10%,0.00%,0.20%
.wxkgg,1,0,1,0.00%,0.00%,0.00%
wrkpnmu,1,0,1,0.00%,0.00%,0.00%
/4,1046,979,67,4.50%,5.80%,1.00%
PAGEWPP,5,5,0,0.00%,0.00%,0.00%
WOW64SVC,1,1,0,0.00%,0.00%,0.00%
.rodata,29,8,21,0.10%,0.00%,0.30%
.SF,11,0,11,0.00%,0.00%,0.20%
CURSORS,2,2,0,0.00%,0.00%,0.00%
eoeeprf,1,0,1,0.00%,0.00%,0.00%
CONST,4,1,3,0.00%,0.00%,0.00%
.rtext,1,1,0,0.00%,0.00%,0.00%
vaqdzxf,1,0,1,0.00%,0.00%,0.00%
.CRT$XIA,2,0,2,0.00%,0.00%,0.00%
data,1,0,1,0.00%,0.00%,0.00%
ljxdelm,1,0,1,0.00%,0.00%,0.00%
.depack,1,0,1,0.00%,0.00%,0.00%
.dtc,4,0,4,0.00%,0.00%,0.10%
EYLqMflj,1,0,1,0.00%,0.00%,0.00%
.ctors,2,0,2,0.00%,0.00%,0.00%
otnitgs,1,0,1,0.00%,0.00%,0.00%
.aspack,36,0,36,0.20%,0.00%,0.60%
.text,19006,13371,5635,81.20%,79.30%,86.20%
byqemzq,1,0,1,0.00%,0.00%,0.00%
0.1951231,2,0,2,0.00%,0.00%,0.00%
nrylryb,1,0,1,0.00%,0.00%,0.00%
bsgqhgw,1,0,1,0.00%,0.00%,0.00%
qguxcpt,1,0,1,0.00%,0.00%,0.00%
.avp,2,0,2,0.00%,0.00%,0.00%
.[su9ar],1,0,1,0.00%,0.00%,0.00%
.CUPX1,1,0,1,0.00%,0.00%,0.00%
RT_BSS,11,11,0,0.00%,0.10%,0.00%
.tsustub,1,0,1,0.00%,0.00%,0.00%
hobrcuu,1,0,1,0.00%,0.00%,0.00%
qr,2,0,2,0.00%,0.00%,0.00%
.e,1,0,1,0.00%,0.00%,0.00%
.api_1,1,0,1,0.00%,0.00%,0.00%
minATL,9,9,0,0.00%,0.10%,0.00%
.SEFCMD,1,0,1,0.00%,0.00%,0.00%
.qnk,2,0,2,0.00%,0.00%,0.00%
.nsp1,2,0,2,0.00%,0.00%,0.00%
.AESeal,2,0,2,0.00%,0.00%,0.00%
.PATCH,1,0,1,0.00%,0.00%,0.00%
force_or,1,1,0,0.00%,0.00%,0.00%
PAGER32R,5,5,0,0.00%,0.00%,0.00%
fmytshp,1,0,1,0.00%,0.00%,0.00%
fqngjbk,1,0,1,0.00%,0.00%,0.00%
xnr-mE_,2,0,2,0.00%,0.00%,0.00%
5248ybag,1,0,1,0.00%,0.00%,0.00%
nhgynzw,1,0,1,0.00%,0.00%,0.00%
8fkq3spw,1,0,1,0.00%,0.00%,0.00%
.yrdata,2,0,2,0.00%,0.00%,0.00%
6289hgyl,1,0,1,0.00%,0.00%,0.00%
.seda,1,0,1,0.00%,0.00%,0.00%
